=== b120m_p33k ===
budget_minutes  : 120
n_layer,n_embd  : 1, 48
n_params        : 33,120
max_iters       : 15147
flops_per_step  : 813,957,120
tokens_seen     : 62,042,112
started_at      : 2026-04-16 21:37:15

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4143    3.4132   0.00300       0.3
  1514    0.4225    0.4165   0.00293      33.0
  3028    0.3445    0.3386   0.00272      67.0
  4542    0.3147    0.3208   0.00240     103.0
  6056    0.2938    0.3008   0.00200     135.4
  7570    0.2862    0.2888   0.00155     168.6
  9084    0.2644    0.2759   0.00110     206.3
 10598    0.2553    0.2470   0.00070     240.1
 12112    0.2431    0.2530   0.00038     271.8
 13626    0.2488    0.2466   0.00017     305.7
 15140    0.2376    0.2397   0.00010     337.9
 15146    0.2385    0.2406   0.00010     338.2
