=== b30m_p61k ===
budget_minutes  : 30
n_layer,n_embd  : 2, 48
n_params        : 61,392
max_iters       : 1985
flops_per_step  : 1,508,769,792
tokens_seen     : 8,130,560
started_at      : 2026-04-16 21:36:14

  step     train       val        lr   elapsed
--------------------------------------------------
     0    3.4509    3.4505   0.00300       0.5
   198    1.5239    1.5209   0.00293       9.0
   396    0.6991    0.7225   0.00272      17.7
   594    0.4252    0.4348   0.00240      26.6
   792    0.3442    0.3476   0.00200      35.4
   990    0.3061    0.3069   0.00155      44.0
  1188    0.2868    0.2895   0.00111      52.4
  1386    0.2694    0.2734   0.00070      60.6
  1584    0.2562    0.2569   0.00038      69.1
  1782    0.2500    0.2528   0.00017      77.1
  1980    0.2458    0.2483   0.00010      85.5
  1984    0.2446    0.2461   0.00010      85.9
