label,budget_label,budget_minutes,n_params,data_fraction,step,train_loss,val_loss,lr,elapsed_s,cumul_gflops,gflops_per_s
30m_56k_d25,30m,30,56448,0.25,0,3.342152,3.345931,0.00300000,0.194,1.3873,7.1627
30m_56k_d25,30m,30,56448,0.25,216,1.172493,1.197918,0.00292929,6.098,301.0367,53.2032
30m_56k_d25,30m,30,56448,0.25,432,0.685911,0.710818,0.00272406,11.358,600.6862,59.1869
30m_56k_d25,30m,30,56448,0.25,648,0.535550,0.568482,0.00240433,16.955,900.3357,55.8678
30m_56k_d25,30m,30,56448,0.25,864,0.462641,0.511248,0.00200128,22.614,1199.9851,55.3872
30m_56k_d25,30m,30,56448,0.25,1080,0.418588,0.476626,0.00155421,28.032,1499.6346,57.6892
30m_56k_d25,30m,30,56448,0.25,1296,0.393592,0.435466,0.00110673,33.510,1799.2841,56.7786
30m_56k_d25,30m,30,56448,0.25,1512,0.365298,0.415621,0.00070249,39.281,2098.9335,53.9707
30m_56k_d25,30m,30,56448,0.25,1728,0.349450,0.394398,0.00038090,44.673,2398.5830,58.0420
30m_56k_d25,30m,30,56448,0.25,1944,0.340894,0.388700,0.00017333,50.086,2698.2325,57.9220
30m_56k_d25,30m,30,56448,0.25,2160,0.337845,0.375849,0.00010002,55.579,2997.8819,56.7612
30m_56k_d25,30m,30,56448,0.25,2164,0.336785,0.385904,0.00010000,55.875,3003.4310,60.7901
30m_56k_d50,30m,30,56448,0.5,0,3.377925,3.378857,0.00300000,0.193,1.3873,7.1856
30m_56k_d50,30m,30,56448,0.5,216,1.134441,1.148986,0.00292929,6.094,301.0367,53.1455
30m_56k_d50,30m,30,56448,0.5,432,0.677975,0.702372,0.00272406,11.357,600.6862,59.2564
30m_56k_d50,30m,30,56448,0.5,648,0.541107,0.572327,0.00240433,16.937,900.3357,55.9994
30m_56k_d50,30m,30,56448,0.5,864,0.478090,0.494452,0.00200128,22.599,1199.9851,55.3147
30m_56k_d50,30m,30,56448,0.5,1080,0.437407,0.454306,0.00155421,28.029,1499.6346,57.5133
30m_56k_d50,30m,30,56448,0.5,1296,0.407505,0.420905,0.00110673,33.523,1799.2841,56.5303
30m_56k_d50,30m,30,56448,0.5,1512,0.383159,0.403380,0.00070249,39.253,2098.9335,54.3255
30m_56k_d50,30m,30,56448,0.5,1728,0.363769,0.388312,0.00038090,44.715,2398.5830,57.2878
30m_56k_d50,30m,30,56448,0.5,1944,0.362207,0.374343,0.00017333,50.069,2698.2325,58.6685
30m_56k_d50,30m,30,56448,0.5,2160,0.352396,0.375555,0.00010002,55.508,2997.8819,57.2638
30m_56k_d50,30m,30,56448,0.5,2164,0.358211,0.369261,0.00010000,55.813,3003.4310,60.0848
30m_56k_d100,30m,30,56448,1.0,0,3.368412,3.368965,0.00300000,0.194,1.3873,7.1600
30m_56k_d100,30m,30,56448,1.0,216,1.175112,1.175968,0.00292929,6.129,301.0367,52.7667
30m_56k_d100,30m,30,56448,1.0,432,0.678689,0.699901,0.00272406,11.425,600.6862,58.7571
30m_56k_d100,30m,30,56448,1.0,648,0.551355,0.547239,0.00240433,17.047,900.3357,55.5072
30m_56k_d100,30m,30,56448,1.0,864,0.481438,0.481859,0.00200128,22.753,1199.9851,54.7995
30m_56k_d100,30m,30,56448,1.0,1080,0.438523,0.436934,0.00155421,28.126,1499.6346,58.2984
